filepaths,labels
flowers\tulip\8680991654_08ed81ac39_c.jpg.npy,tulip
flowers\sunflower\265450085_6e9f276e2e.jpg.npy,sunflower
flowers\sunflower\sunflower-2242989.jpg.npy,sunflower
flowers\tulip\15287156675_fe7a95b123_c.jpg.npy,tulip
flowers\tulip\458661250_8c11ed7023_c.jpg.npy,tulip
flowers\dandelion\03b189fc9c.jpg.npy,dandelion
flowers\sunflower\5091281256_648c37d7c1_n.jpg.npy,sunflower
flowers\rose\24841052213_90fc2b1046_c.jpg.npy,rose
flowers\dandelion\98207a8e8e.jpg.npy,dandelion
flowers\daisy\8882282142_9be2524d38_m.jpg.npy,daisy
flowers\dandelion\4573204407_babff0dce4_n.jpg.npy,dandelion
flowers\tulip\c5ed61e9c8.jpg.npy,tulip
flowers\dandelion\1667963621_c76d570af3_n.jpg.npy,dandelion
flowers\daisy\33806101464_5eca772954_n_jpg.rf.e31008e6ce8adfe2d517a1a6634c0158.jpg.npy,daisy
flowers\sunflower\15d3119026.jpg.npy,sunflower
flowers\sunflower\images55.jpg.npy,sunflower
flowers\daisy\4694730335_2553e77aa5_z.jpg.npy,daisy
flowers\sunflower\7656320470_1e7d18e850_c.jpg.npy,sunflower
flowers\rose\5001848317_b33d17ab7a_n.jpg.npy,rose
flowers\tulip\18378581986_5cd1494d08_n.jpg.npy,tulip
flowers\dandelion\148180650_19a4b410db.jpg.npy,dandelion
flowers\dandelion\34662979916_0479576f5e_n.jpg.npy,dandelion
flowers\sunflower\image_05447.jpg.npy,sunflower
flowers\rose\8a1a8d5111189b144dd3591841f84409.jpg.npy,rose
flowers\dandelion\9293460423_7fbb1e3c32_n.jpg.npy,dandelion
flowers\dandelion\2634665077_597910235f_m.jpg.npy,dandelion
flowers\tulip\a43bc0a3dc.jpg.npy,tulip
flowers\dandelion\42.jpg.npy,dandelion
flowers\dandelion\4776638782_582ae4715a_c.jpg.npy,dandelion
flowers\sunflower\5058_sunflower_giant_russian_single_2_.jpg.npy,sunflower
flowers\dandelion\d1d98a0f3c7534f739eea5ec769e78ba.jpg.npy,dandelion
flowers\daisy\4746633946_23933c0810.jpg.npy,daisy
flowers\tulip\21567227544_216388ea44_c.jpg.npy,tulip
flowers\tulip\8713390684_041148dd3e_n.jpg.npy,tulip
flowers\rose\4573556983_3dee824738_c.jpg.npy,rose
flowers\daisy\3475870145_685a19116d_jpg.rf.b9152b221576ca5566d7bfc3893a9394.jpg.npy,daisy
flowers\sunflower\4895719476_bd3b6bd6fd_n.jpg.npy,sunflower
flowers\rose\images1 5.12.05 PM.jpg.npy,rose
flowers\dandelion\7e89898e4b.jpg.npy,dandelion
flowers\rose\21346056089_e6f8074e5f_m.jpg.npy,rose
flowers\daisy\image_02269.jpg.npy,daisy
flowers\rose\8035910225_125beceb98_n.jpg.npy,rose
flowers\tulip\8577427550_78884368e6_c.jpg.npy,tulip
flowers\sunflower\7787905294_c35d5e0005_c.jpg.npy,sunflower
flowers\tulip\tulips-field-13937121.jpg.npy,tulip
flowers\rose\18492302751_cf6a5a583e_n.jpg.npy,rose
flowers\sunflower\image_05418.jpg.npy,sunflower
flowers\daisy\2646438199_b309cffd65_n.jpg.npy,daisy
flowers\daisy\7630517248_98fb8bee1f_n.jpg.npy,daisy
flowers\dandelion\34690477346_6af75b993b_n.jpg.npy,dandelion
flowers\rose\17158274118_00ec99a23c.jpg.npy,rose
flowers\rose\1044bd37538f45cd75d99c5afe43bf68.jpg.npy,rose
flowers\tulip\spring-tulips-growing-vibrant-colorful-39864982.jpg.npy,tulip
flowers\dandelion\14113793706_a2a411de47_c.jpg.npy,dandelion
flowers\tulip\13659500195_bc62316db6_c.jpg.npy,tulip
flowers\daisy\1.jpg.npy,daisy
flowers\rose\bouquet-yellow-roses-rustic-wooden-background-valentine-s-day-mother-day-holiday-mock-up-top-view-77991801.jpg.npy,rose
flowers\sunflower\56ac08f012.jpg.npy,sunflower
flowers\sunflower\6794074502_b00ef668fe_c.jpg.npy,sunflower
flowers\tulip\16970689310_58dd227e49_c.jpg.npy,tulip
flowers\rose\1093502641_59898088b4_c.jpg.npy,rose
flowers\tulip\a3276e7bec4284a051f37e5ee7f12738.jpg.npy,tulip
flowers\tulip\19689681344_b05ac361f2_n.jpg.npy,tulip
flowers\tulip\13913813272_ab73081f91_c.jpg.npy,tulip
flowers\sunflower\4339629169_1fb6b07697_c.jpg.npy,sunflower
flowers\tulip\dbd45ecf13.jpg.npy,tulip
flowers\rose\7409458444_0bfc9a0682_n.jpg.npy,rose
flowers\tulip\6267021825_a8316e0dcc_m.jpg.npy,tulip
flowers\dandelion\2877376305_afd825bd19_c.jpg.npy,dandelion
flowers\sunflower\274848710_5185cf33b1_n.jpg.npy,sunflower
flowers\tulip\17272450095_c77eb3270b_c.jpg.npy,tulip
flowers\dandelion\8915661673_9a1cdc3755_m.jpg.npy,dandelion
flowers\sunflower\14891112623_9a7330c62d_c.jpg.npy,sunflower
flowers\dandelion\1044d82278e2f875661000e95c03b6f3.jpg.npy,dandelion
flowers\dandelion\536109233_739730a6f4_c.jpg.npy,dandelion
flowers\sunflower\6606749757_b98a4ba403.jpg.npy,sunflower
flowers\tulip\5810294779_fd2af7c953_c.jpg.npy,tulip
flowers\rose\78d0b68034.jpg.npy,rose
flowers\daisy\4131565290_0585c4dd5a_n_jpg.rf.81a157e8b62f241e297c5ba6188418e8.jpg.npy,daisy
flowers\sunflower\fd4945c1c5.jpg.npy,sunflower
flowers\rose\bright_roses_05_hd_pictures_167007.jpg.npy,rose
flowers\tulip\16955803792_74e2f0512c_c.jpg.npy,tulip
flowers\tulip\d5214b395525e1d4cd4f1806474f841a.jpg.npy,tulip
flowers\sunflower\2279465063_5121180542_c.jpg.npy,sunflower
flowers\tulip\dda5c3e45a.jpg.npy,tulip
flowers\dandelion\30995652818_f79e60b929_c.jpg.npy,dandelion
flowers\dandelion\141652526_2be95f21c3_n.jpg.npy,dandelion
flowers\sunflower\5069292727_2b4a3c9306_c.jpg.npy,sunflower
flowers\tulip\blue-muscari-flowers-tulips-red-yellow-beds-keukenhof-lisse-netherlands-53356492.jpg.npy,tulip
flowers\sunflower\12471791574_bb1be83df4.jpg.npy,sunflower
flowers\sunflower\bc006d44f9.jpg.npy,sunflower
flowers\dandelion\33857437664_f2ddb77592_n.jpg.npy,dandelion
flowers\dandelion\aaf8f8bfc5.jpg.npy,dandelion
flowers\daisy\29.jpg.npy,daisy
flowers\tulip\14134658276_26d4edf489_c.jpg.npy,tulip
flowers\rose\31078979126_bce7e74c69_c.jpg.npy,rose
flowers\sunflower\309167784_4fbce0763a_c.jpg.npy,sunflower
flowers\rose\30797326344_f74d565a88_c.jpg.npy,rose
flowers\rose\16171747087_a354e4240f_c.jpg.npy,rose
flowers\tulip\14116826873_d4bab623bf_n.jpg.npy,tulip
flowers\tulip\14001324857_458d8b016e_c.jpg.npy,tulip
flowers\tulip\spring-tulips-flowers-38406260.jpg.npy,tulip
flowers\rose\28725151573_d7a6ff1b54_c.jpg.npy,rose
flowers\rose\15190221591_63af7935c7_c.jpg.npy,rose
flowers\rose\pink-roses-2743024.jpg.npy,rose
flowers\sunflower\388a4662d0.jpg.npy,sunflower
flowers\tulip\467327306_3a2e074e7f_c.jpg.npy,tulip
flowers\daisy\3750771898_cfd50090ba_n_jpg.rf.da6c41777e51b63d181c0fe8c4047b26.jpg.npy,daisy
flowers\daisy\34664107325_701d5c6f08_n.jpg.npy,daisy
flowers\daisy\9321854387_5f77c926cb_n_jpg.rf.c0dcf69fd41eb220d55bf29f2e5b392b.jpg.npy,daisy
flowers\tulip\507377149_fa9a1c4f84_c.jpg.npy,tulip
flowers\dandelion\515a2e225a.jpg.npy,dandelion
flowers\sunflower\94064437_3bec1c07f3_c.jpg.npy,sunflower
flowers\dandelion\7191235954_40f6480305_c.jpg.npy,dandelion
flowers\rose\27544093262_2a5d597494_c.jpg.npy,rose
flowers\daisy\021f5f0616.jpg.npy,daisy
flowers\daisy\1306119996_ab8ae14d72_n_jpg.rf.76f1660ed941f07461dafccbb51a89fa.jpg.npy,daisy
flowers\daisy\purple-daisy-163794.jpg.npy,daisy
flowers\daisy\14245834619_153624f836.jpg.npy,daisy
flowers\rose\30771841786_2f5f60ff55_c.jpg.npy,rose
flowers\rose\20ba4ce533.jpg.npy,rose
flowers\rose\1540738662_7b4152e344_m.jpg.npy,rose
flowers\daisy\image_02200.jpg.npy,daisy
flowers\sunflower\image_05440.jpg.npy,sunflower
flowers\tulip\3502974120_9f1eceaf8b_n.jpg.npy,tulip
flowers\daisy\violet-daisy-isolated-10484059.jpg.npy,daisy
flowers\tulip\5825363288_0738737f2c_c.jpg.npy,tulip
flowers\rose\6185065407_8d945015d3_c.jpg.npy,rose
flowers\dandelion\3554992110_81d8c9b0bd_m.jpg.npy,dandelion
flowers\rose\rose-flower-yellow-red-over-gray-background-34908397.jpg.npy,rose
flowers\daisy\5e7c395eeb.jpg.npy,daisy
flowers\sunflower\42677099230_d433833a13_c.jpg.npy,sunflower
flowers\dandelion\142813254_20a7fd5fb6_n.jpg.npy,dandelion
flowers\rose\two_red_roses_and_heartshaped_picture_166717.jpg.npy,rose
flowers\rose\34976179810_9735b1a602_c.jpg.npy,rose
flowers\daisy\286875003_f7c0e1882d.jpg.npy,daisy
flowers\rose\41iOEbDxLKL.jpg.npy,rose
flowers\dandelion\4482149518_8f26bae112_c.jpg.npy,dandelion
flowers\sunflower\19619005154_0cb8fe2179_c.jpg.npy,sunflower
flowers\dandelion\dandelion-clock-dispersing-seed-seeds-morning-sunlight-blowing-away-wind-across-clear-blue-sky-53265043.jpg.npy,dandelion
flowers\tulip\5536137680_9681fbf1af_c.jpg.npy,tulip
flowers\tulip\214766724_3e74f45fc9_c.jpg.npy,tulip
flowers\tulip\15052586652_56a82de133_m.jpg.npy,tulip
flowers\rose\12323085443_8ac0cdb713_n.jpg.npy,rose
flowers\rose\red-roses-garden-sunlight-thailand-72999491.jpg.npy,rose
flowers\sunflower\f8b34c1796.jpg.npy,sunflower
flowers\rose\34558551245_c13cda64da_c.jpg.npy,rose
flowers\sunflower\Vollmer-Sanders_sunflowers_PaulKingsburyTNC_P1050989.jpg.npy,sunflower
flowers\rose\15212091776_f24a0fe783_c.jpg.npy,rose
flowers\rose\5415173021_ec34517d84_n.jpg.npy,rose
flowers\rose\12229407154_6a39beea99_c.jpg.npy,rose
flowers\rose\rose-flower-leaves-frame-flat-lay-107284595.jpg.npy,rose
flowers\rose\set-three-beautiful-vivid-red-roses-long-stems-green-leaves-isolated-white-background-front-side-view-114998241.jpg.npy,rose
flowers\tulip\8738207559_d977f0e85d_c.jpg.npy,tulip
flowers\daisy\3494265422_9dba8f2191_n_jpg.rf.361af1ccc0154f678bcd6d69ef221234.jpg.npy,daisy
flowers\dandelion\4491950724_a598a841e7_c.jpg.npy,dandelion
flowers\daisy\dfbe02573a.jpg.npy,daisy
flowers\tulip\13472141763_f2517e7f0d.jpg.npy,tulip
flowers\daisy\14307766919_fac3c37a6b_m.jpg.npy,daisy
flowers\rose\2480339968_395faf3c8c_c.jpg.npy,rose
flowers\rose\pink-roses-wedding-cake-white-58507177.jpg.npy,rose
flowers\rose\5957632278_0ecb542499_c.jpg.npy,rose
flowers\tulip\17719248689_cfd5d2f228_n.jpg.npy,tulip
flowers\sunflower\20566427890_43df3a0397_c.jpg.npy,sunflower
flowers\rose\250569976_8e40f031f2_c.jpg.npy,rose
flowers\daisy\fbaefa8f1d.jpg.npy,daisy
flowers\rose\065a5e2293.jpg.npy,rose
flowers\tulip\459484658_9b4d5270c1_c.jpg.npy,tulip
flowers\tulip\16930105456_8b826dc4a8_n.jpg.npy,tulip
flowers\dandelion\73.jpg.npy,dandelion
flowers\sunflower\3183266865_3169ca947d_c.jpg.npy,sunflower
flowers\dandelion\5572197407_a0047238a6.jpg.npy,dandelion
flowers\tulip\1159027032.jpg.npy,tulip
flowers\dandelion\43380969334_d44475c233_c.jpg.npy,dandelion
flowers\daisy\24.jpg.npy,daisy
flowers\rose\4248222578_b4d5868b32.jpg.npy,rose
flowers\dandelion\1a0f6e2e57.jpg.npy,dandelion
flowers\daisy\9346508462_f0af3163f4.jpg.npy,daisy
flowers\tulip\8717900362_2aa508e9e5.jpg.npy,tulip
flowers\dandelion\5545348362_d54cb07412_c.jpg.npy,dandelion
flowers\tulip\bb47b9c62b5368f17c45416dbca80cd7.jpg.npy,tulip
flowers\tulip\653688690_9953c551d0_c.jpg.npy,tulip
flowers\sunflower\3781143618_056619d42b_c.jpg.npy,sunflower
flowers\tulip\b90b3f29c690271861aa51c2f6186c82.jpg.npy,tulip
flowers\rose\rose-flower-red-type-flowering-shrub-belong-to-family-plants-called-rosaceae-thiruvananthapuram-kerala-57557990.jpg.npy,rose
flowers\sunflower\6133988570_9dc778e622_m.jpg.npy,sunflower
flowers\daisy\163978992_8128b49d3e_n_jpg.rf.664624c3108ebc4c66ed35eaf9dabe4e.jpg.npy,daisy
flowers\dandelion\18803577858_fd0036e1f5_m.jpg.npy,dandelion
flowers\dandelion\15388324076_afc97fa357_c.jpg.npy,dandelion
flowers\dandelion\a8fed1308f.jpg.npy,dandelion
flowers\dandelion\f3a1c81371.jpg.npy,dandelion
flowers\sunflower\sunflower-4509760_960_720.jpg.npy,sunflower
flowers\sunflower\40019255361_e7d4ae5288_c.jpg.npy,sunflower
flowers\rose\40805497680_a8a13279fc_c.jpg.npy,rose
flowers\rose\red_rose_white_rose_side_of_picture_166720.jpg.npy,rose
flowers\dandelion\10437652486_aa86c14985.jpg.npy,dandelion
flowers\sunflower\8871f26fa0.jpg.npy,sunflower
flowers\sunflower\640field.jpg.npy,sunflower
flowers\dandelion\19602790836_912d38aaa8.jpg.npy,dandelion
flowers\dandelion\3476980444_c276bea402_m.jpg.npy,dandelion
flowers\daisy\yellow-gerber-daisy-2629727.jpg.npy,daisy
flowers\daisy\2349640101_212c275aa7.jpg.npy,daisy
flowers\rose\watercolor_style_roses_highdefinition_picture_pink_roses_9p_166818.jpg.npy,rose
flowers\dandelion\143973150_ff432b5b58_c.jpg.npy,dandelion
flowers\sunflower\58.jpg.npy,sunflower
flowers\rose\blooming-rose-flower-17563412.jpg.npy,rose
flowers\rose\brides-bunch-blue-roses-27301415.jpg.npy,rose
flowers\rose\5335937199_2c83d46a57_n.jpg.npy,rose
flowers\dandelion\6412422565_ce61ca48a9_n.jpg.npy,dandelion
flowers\rose\3115889021_053f3b8e5a.jpg.npy,rose
flowers\sunflower\4566079059_cb1d6aedfc_c.jpg.npy,sunflower
flowers\sunflower\8928658373_fdca5ff1b8.jpg.npy,sunflower
flowers\daisy\14674743211_f68b13f6d9.jpg.npy,daisy
flowers\tulip\5407579588_de20a81823_c.jpg.npy,tulip
flowers\dandelion\14098770588_6a9ab28557_c.jpg.npy,dandelion
flowers\rose\8143794762_83606a103e_c.jpg.npy,rose
flowers\dandelion\image_06332.jpg.npy,dandelion
flowers\tulip\17202535346_ab828e779b.jpg.npy,tulip
flowers\sunflower\15044100040_4cb296ec53_c.jpg.npy,sunflower
flowers\sunflower\26146630808_c27d3efe52_c.jpg.npy,sunflower
flowers\tulip\23fce6f8f4.jpg.npy,tulip
flowers\rose\8755621116_28dfbc0f04_c.jpg.npy,rose
flowers\daisy\child-hand-holding-flower-daisy-toned-photo-focus-floiwers-55999310.jpg.npy,daisy
flowers\daisy\34696730346_5f0c131e59_n_jpg.rf.bb00544c60f4b916d5fc02ff656b240a.jpg.npy,daisy
flowers\rose\4311709566_3d0410b408_c.jpg.npy,rose
flowers\rose\3622850950_3753a88dfc_c.jpg.npy,rose
flowers\sunflower\20344282483_05abb0b837.jpg.npy,sunflower
flowers\rose\pink-rose-flower-bouquet-background-49359653.jpg.npy,rose
flowers\daisy\5632774792_0fa33d17eb_n.jpg.npy,daisy
